So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH
03005138,6.60,7.75,7.00,,,,,4.75,6.50,7.00,6.08
03005139,7.00,7.50,5.40,,,,,4.25,6.00,9.00,6.42
03005140,8.20,6.75,5.00,6.75,8.00,5.50,6.75,,,,
03005141,7.20,6.00,5.80,4.75,6.00,4.50,5.08,,,,
03005142,4.20,3.50,2.80,,,,,4.00,6.00,7.00,5.67
03005143,5.00,6.50,8.80,,,,,8.75,8.75,8.75,8.75
03005144,5.60,5.50,2.60,,,,,5.50,4.75,7.75,6.00
03005145,6.40,6.50,7.20,,,,,4.75,7.25,7.50,6.50
03005146,6.20,7.50,8.20,,,,,5.50,7.00,9.00,7.17
03005147,5.80,7.25,4.40,2.50,2.50,3.50,2.83,,,,
03005148,8.00,6.25,6.20,8.25,7.50,6.00,7.25,,,,
03005149,7.60,4.00,7.00,5.75,4.50,3.25,4.50,,,,
03005150,6.60,7.50,6.60,,,,,6.25,6.00,8.25,6.83
03005151,6.40,6.25,7.20,7.50,7.00,6.00,6.83,,,,
03005152,8.00,7.00,5.00,7.50,7.50,5.25,6.75,,,,
03005153,8.20,6.00,3.20,7.50,6.25,5.50,6.42,,,,
03005154,6.80,7.25,3.20,,,,,4.00,7.00,9.00,6.67
03005155,6.60,7.50,7.40,,,,,5.25,6.25,8.75,6.75
03005156,6.40,6.41,4.20,,,,,7.00,7.00,9.25,7.75
03005157,7.20,7.50,5.40,4.50,4.00,4.25,4.25,,,,
03005158,6.60,7.75,5.00,,,,,4.00,7.00,8.75,6.58
03005159,5.80,7.75,3.80,,,,,5.00,7.00,9.00,7.00
03005160,7.20,7.00,7.00,,,,,3.50,5.50,7.50,5.50
03005161,7.00,7.25,8.60,,,,,6.75,8.00,9.50,8.08
03005162,7.40,8.00,8.20,7.00,4.50,4.50,5.33,,,,
03005163,4.00,6.25,3.00,,,,,4.25,4.50,6.25,5.00
03005164,6.60,7.50,2.80,4.75,5.50,7.50,5.92,,,,
03005165,7.80,7.75,8.40,,,,,7.75,9.25,9.75,8.92
03005166,7.80,8.00,7.00,,,,,6.00,7.50,9.00,7.50
03005167,3.00,5.75,2.20,,,,,3.75,5.50,6.50,5.25
03005168,8.20,8.00,6.60,,,,,4.50,7.50,9.50,7.17
03005169,6.00,5.50,4.40,5.50,3.00,5.00,4.50,,,,
03005170,7.20,7.50,6.20,7.00,3.25,4.00,4.75,,,,
03005171,7.00,7.25,7.40,,,,,3.00,6.75,6.75,5.50
03005172,7.20,6.00,6.00,,,,,3.25,5.25,6.75,5.08
03005173,4.20,4.75,3.00,,,,,2.75,6.25,9.00,6.00
03005174,7.40,4.00,7.40,8.25,5.75,4.25,6.08,,,,
03005175,5.00,6.50,6.20,,,,,5.75,5.50,6.25,5.83
03005176,8.00,5.25,6.80,7.75,7.75,4.75,6.75,,,,
03005177,4.80,5.25,7.20,,,,,6.00,6.25,7.50,6.58
03005178,6.40,6.25,5.60,5.25,3.00,4.25,4.17,,,,
03005179,7.60,6.50,8.40,5.75,5.50,3.25,4.83,,,,
03005180,6.60,5.50,8.00,7.00,2.50,3.00,4.17,6.25,6.75,8.50,7.17
03005181,7.00,6.25,7.20,5.50,4.75,5.00,5.08,,,,
03005182,8.40,5.00,3.60,7.00,7.50,5.25,6.58,,,,
03005183,8.40,5.25,8.20,6.75,5.25,4.25,5.42,,,,
03005184,7.00,6.75,5.20,,,,,6.25,6.50,9.25,7.33
03005185,6.40,4.75,4.80,5.25,3.00,5.25,4.50,,,,
03005186,6.00,5.75,2.60,5.50,6.00,3.50,5.00,,,,
03005187,6.40,4.25,4.40,,,,,5.25,7.25,8.25,6.92
03005188,8.60,8.25,7.40,,,,,8.25,9.00,8.75,8.67
03005189,6.40,6.25,3.80,6.75,4.00,4.75,5.17,,,,
03005190,7.60,6.75,7.00,7.00,3.75,4.75,5.17,,,,
03005191,2.80,4.75,2.80,,,,,2.75,6.25,7.50,5.50
03005192,8.20,6.00,9.00,6.75,6.00,6.50,6.42,,,,
03005193,6.60,5.50,4.20,3.75,2.50,2.50,2.92,,,,
03005194,5.80,5.75,1.80,3.75,3.50,3.75,3.67,,,,
03005195,6.60,7.50,8.00,,,,,4.25,5.50,7.75,5.83
03005196,5.80,6.75,5.80,,,,,3.75,7.00,8.00,6.25
03005197,5.40,6.50,7.00,,,,,4.00,6.25,7.00,5.75
03005198,7.20,6.50,4.20,6.25,5.75,4.00,5.33,,,,
03005199,7.20,6.50,3.20,,,,,4.00,6.25,7.25,5.83
03005200,6.60,6.00,4.40,7.75,5.75,6.00,6.50,,,,
03005201,8.60,6.00,6.60,7.25,6.75,3.75,5.92,,,,
03005202,7.00,6.25,5.20,4.50,5.75,4.25,4.83,,,,
03005203,7.20,7.25,5.40,6.50,7.25,8.75,7.50,,,,
03005204,8.00,7.00,8.20,7.00,7.75,4.50,6.42,,,,
03005205,6.80,7.25,6.00,,,,,3.25,6.00,7.75,5.67
03005206,6.60,7.50,6.40,,,,,6.50,6.75,8.75,7.33
03005207,7.20,7.00,8.60,3.75,4.75,4.75,4.42,,,,
03005208,7.00,7.75,9.00,6.00,6.50,5.25,5.92,,,,
03005209,5.60,7.00,4.80,,,,,5.50,6.75,7.75,6.67
03005210,7.40,6.75,8.40,,,,,5.50,7.50,9.25,7.42
03005211,4.20,3.75,2.60,,,,,4.50,6.75,8.25,6.50
03005212,6.00,6.00,5.60,,,,,5.00,6.75,8.00,6.58
03005213,5.80,6.50,3.80,,,,,4.50,6.75,7.25,6.17
03005214,5.60,3.25,2.80,,,,,5.75,6.75,9.00,7.17
03005215,6.40,5.00,2.40,4.75,5.00,4.50,4.75,,,,
03005216,5.60,7.50,7.40,,,,,2.50,5.75,9.00,5.75
03005217,5.20,5.50,3.00,5.25,3.50,3.25,4.00,,,,
03005218,5.00,4.25,2.60,1.75,1.50,2.75,2.00,,,,
03005219,4.00,5.00,3.40,,,,,4.25,4.50,7.00,5.25
03005220,2.40,6.00,2.80,,,,,2.75,4.25,7.75,4.92
03005221,4.00,5.00,1.40,,,,,4.25,5.25,8.00,5.83
03005222,7.40,8.00,5.80,,,,,7.50,9.25,8.25,8.33
03005223,3.80,4.25,2.80,,,,,4.25,6.00,7.75,6.00
03005224,4.20,2.00,3.20,,,,,3.00,5.50,7.75,5.42
03005225,6.20,6.75,6.60,,,,,4.25,7.25,8.50,6.67
03005226,7.20,8.00,8.80,,,,,8.25,8.75,9.00,8.67
03005227,7.00,6.00,7.80,,,,,6.75,7.50,9.00,7.75
03005228,7.60,6.75,6.80,,,,,5.75,7.25,8.50,7.17
03005229,2.80,5.50,2.20,,,,,4.00,6.25,9.00,6.42
03005230,3.60,5.75,3.40,,,,,6.50,6.75,7.00,6.75
03005231,2.40,4.25,2.80,,,,,3.25,5.00,7.50,5.25
03005232,4.40,4.25,3.20,,,,,4.75,5.25,6.25,5.42
03005233,5.80,8.00,4.60,,,,,5.50,7.25,8.00,6.92
03005234,6.00,6.25,6.00,,,,,6.00,7.50,9.00,7.50
03005235,5.60,6.50,3.40,,,,,5.00,6.50,8.75,6.75
03005236,6.40,8.50,4.60,,,,,6.00,7.50,7.75,7.08
03005237,3.20,4.25,2.40,,,,,2.50,5.25,6.25,4.67
03005238,7.00,7.75,7.60,,,,,6.50,7.50,8.50,7.50
03005239,6.40,6.50,5.80,,,,,4.25,7.50,8.75,6.83
03005240,5.60,8.25,7.80,,,,,7.75,7.50,9.00,8.08
03005241,8.20,7.50,7.60,,,,,5.00,5.75,8.25,6.33
03005242,3.00,3.50,2.80,,,,,5.00,3.25,7.00,5.08
03005243,5.60,8.25,4.40,,,,,4.00,5.00,7.25,5.42
03005244,6.20,6.00,4.20,,,,,7.25,7.25,9.00,7.83
03005245,5.60,7.25,7.40,,,,,3.50,6.25,6.50,5.42
03005246,7.00,8.00,9.00,,,,,4.75,7.50,8.50,6.92
03005247,5.80,7.25,6.80,,,,,4.00,7.25,8.00,6.42
03005248,7.40,7.75,9.00,,,,,7.50,9.25,9.00,8.58
03005249,6.20,5.25,3.80,,,,,3.75,7.50,8.00,6.42
03005250,6.00,4.50,6.60,,,,,5.00,5.00,8.75,6.25
03005251,7.40,6.75,3.60,,,,,6.25,7.75,8.50,7.50
03005252,6.60,6.00,3.80,,,,,5.00,6.50,8.50,6.67
03005253,7.20,6.50,4.60,,,,,4.25,7.50,8.50,6.75
03005254,6.80,7.00,5.20,,,,,5.00,5.50,8.25,6.25
03005255,5.00,6.00,3.40,,,,,6.25,6.25,9.00,7.17
03005256,6.00,6.50,8.40,,,,,9.25,8.00,8.75,8.67
03005257,4.80,3.75,2.20,,,,,3.50,4.75,6.75,5.00
03005258,7.40,6.00,9.00,,,,,8.25,7.50,9.50,8.42
03005259,6.80,6.00,8.60,,,,,5.75,5.00,7.75,6.17
03005260,6.00,5.50,5.40,,,,,2.25,7.00,8.25,5.83
03005261,4.00,5.75,4.40,,,,,5.25,6.00,9.00,6.75
03005262,4.60,5.75,3.80,,,,,5.00,6.50,8.50,6.67
03005263,6.80,7.00,4.00,,,,,6.50,5.25,7.50,6.42
03005264,7.80,8.00,8.20,,,,,4.25,6.75,8.25,6.42
03005265,2.80,4.25,2.20,,,,,4.00,5.75,6.75,5.50
03005266,7.80,6.50,6.60,,,,,5.25,6.00,9.50,6.92
03005267,7.60,8.00,6.40,,,,,6.25,7.25,9.50,7.67
03005268,6.60,7.00,6.60,,,,,5.00,6.00,9.25,6.75
03005269,3.00,4.75,1.80,,,,,4.25,6.25,8.25,6.25
03005270,7.40,7.75,6.60,,,,,4.50,6.50,8.75,6.58
03005271,6.20,6.50,8.60,,,,,7.75,9.00,9.00,8.58
03005272,7.00,7.50,5.60,,,,,5.25,4.50,6.25,5.33
03005273,6.80,7.00,8.00,,,,,5.25,8.00,8.75,7.33
03005274,6.00,7.25,6.40,,,,,5.00,6.50,7.00,6.17
03005275,5.80,7.50,5.60,,,,,6.25,6.75,8.00,7.00
03005276,7.20,7.50,5.80,,,,,5.25,6.50,6.50,6.08
03005277,3.80,4.50,5.00,,,,,3.00,7.50,8.25,6.25
03005279,5.60,5.25,3.20,3.25,1.50,5.00,3.25,,,,
03005280,4.60,3.25,2.00,,,,,5.25,5.25,8.25,6.25
03005281,6.60,6.50,8.00,6.75,4.00,3.00,4.58,,,,
03005282,5.20,6.25,3.20,,,,,4.50,6.75,8.75,6.67
03005283,1.20,4.75,2.00,,,,,3.75,6.75,8.25,6.25
03005284,4.20,4.25,2.80,,,,,3.75,4.25,6.25,4.75
03005285,8.00,5.75,6.00,,,,,3.50,5.25,6.25,5.00
03005286,4.60,5.00,5.20,,,,,4.25,7.00,8.25,6.50
03005287,8.40,7.00,4.60,7.00,7.00,5.75,6.58,,,,
03005288,7.40,7.50,5.60,8.00,4.50,5.50,6.00,,,,
03005289,8.00,7.75,5.00,,,,,5.25,6.50,8.50,6.75
03005290,5.60,7.50,5.20,,,,,5.25,6.25,9.00,6.83
03005291,6.80,6.50,5.00,4.50,4.00,4.25,4.25,,,,
03005292,7.40,6.50,5.20,,,,,6.25,6.75,7.25,6.75
03005293,7.20,7.75,9.20,,,,,5.75,7.25,9.00,7.33
03005294,7.20,6.75,3.40,6.75,7.00,4.50,6.08,,,,
03005295,6.60,8.00,8.20,,,,,6.25,7.50,8.75,7.50
03005296,7.20,8.00,6.40,,,,,6.25,8.00,8.75,7.67
03005297,4.60,6.00,3.60,,,,,4.75,7.25,8.75,6.92
03005298,8.20,7.00,9.20,,,,,5.75,8.00,9.25,7.67
03005299,6.20,7.25,3.80,5.00,2.00,4.25,3.75,,,,
03005300,6.60,7.00,6.80,,,,,6.50,7.50,9.25,7.75
03005301,7.20,7.25,8.20,,,,,4.25,5.75,8.00,6.00
03005302,7.00,5.75,5.40,,,,,5.75,6.75,8.25,6.92
03005303,7.00,6.50,3.80,,,,,3.75,7.00,8.25,6.33
03005304,7.60,7.50,4.20,7.50,3.50,5.75,5.58,,,,
03005305,5.60,7.00,5.60,,,,,4.25,5.50,7.25,5.67
03005306,6.00,8.00,,,,,,6.50,7.75,9.50,7.92
03005307,7.00,7.00,6.20,,,,,5.50,6.50,8.00,6.67
03005308,7.80,7.25,8.00,7.50,6.75,6.00,6.75,,,,
03005309,2.40,4.25,2.00,,,,,2.25,3.25,5.25,3.58
03005310,7.40,5.75,6.40,6.00,5.00,4.25,5.08,,,,
03005311,7.20,6.25,3.80,5.75,4.50,4.25,4.83,,,,
03005312,5.40,6.00,2.00,,,,,6.50,4.75,7.50,6.25
03005313,7.00,5.75,2.60,5.25,4.75,4.00,4.67,,,,
03005314,7.80,7.00,2.40,8.00,6.00,5.00,6.33,,,,
03005315,5.80,5.50,5.20,5.25,3.50,3.75,4.17,,,,
03005316,6.20,4.50,2.40,4.25,4.75,4.25,4.42,,,,
03005317,4.20,2.00,2.60,,,,,4.00,5.50,6.50,5.33
03005318,2.60,4.25,2.20,,,,,3.50,4.75,7.00,5.08
03005319,8.20,7.50,7.20,6.75,5.50,5.50,5.92,,,,
03005320,7.40,7.75,4.80,5.00,4.00,4.75,4.58,,,,
03005321,7.20,7.50,7.80,5.25,6.00,7.75,6.33,,,,
03005322,6.80,7.00,6.20,,,,,3.25,6.50,8.25,6.00
03005323,7.40,7.50,7.40,,,,,4.75,6.25,8.25,6.42
03005324,5.60,6.75,5.60,,,,,4.00,6.50,7.75,6.08
03005325,8.80,6.50,3.60,8.00,8.25,3.75,6.67,,,,
03005326,3.00,3.50,2.40,,,,,4.50,5.00,7.75,5.75
03005327,7.80,8.00,6.80,,,,,5.00,7.50,8.75,7.08
03005328,4.80,5.50,3.40,,,,,2.50,5.50,8.50,5.50
03005329,7.40,5.50,,6.50,6.75,4.00,5.75,,,,
03005330,7.80,6.50,9.00,,,,,6.75,8.25,9.00,8.00
03005331,7.00,5.75,6.60,,,,,5.75,7.75,8.00,7.17
03005332,7.60,6.50,7.00,,,,,6.00,7.75,8.25,7.33
03005333,5.80,6.50,3.40,,,,,1.75,6.25,8.75,5.58
03005334,7.40,6.00,4.40,,,,,4.00,6.25,8.25,6.17
03005335,8.00,5.50,5.40,6.25,7.50,5.50,6.42,,,,
03005336,8.00,6.25,4.20,5.75,6.00,5.50,5.75,,,,
03005337,7.40,7.50,7.80,,,,,6.25,7.25,9.25,7.58
03005338,7.20,7.50,7.20,,,,,4.50,6.00,7.75,6.08
03005339,6.20,7.25,8.80,7.50,4.50,4.75,5.58,,,,
03005340,6.80,6.25,3.60,,,,,4.25,5.00,9.25,6.17
03005341,7.60,7.25,5.60,6.75,3.00,4.00,4.58,,,,
03005342,5.40,5.00,6.20,,,,,5.25,4.75,6.75,5.58
03005343,2.40,4.25,1.80,,,,,2.75,4.50,6.50,4.58
03005344,9.20,7.25,5.20,8.25,7.50,5.25,7.00,,,,
03005345,7.60,4.00,3.80,6.75,7.00,3.50,5.75,,,,
03005346,6.20,6.00,6.20,5.25,3.75,5.75,4.92,,,,
03005347,7.60,8.25,7.40,,,,,8.75,9.25,9.50,9.17
03005348,6.00,7.50,6.00,,,,,4.50,6.00,7.25,5.92
03005349,7.80,8.00,6.80,,,,,8.00,8.50,9.25,8.58
03005350,7.00,8.00,7.20,,,,,6.75,8.00,9.25,8.00
03005351,7.60,7.75,6.40,5.75,3.75,5.25,4.92,,,,
03005352,6.40,7.50,4.60,,,,,3.25,7.00,8.50,6.25
03005353,7.80,7.50,8.20,,,,,6.00,7.00,9.00,7.33
03005354,6.20,7.50,5.40,6.25,3.25,4.25,4.58,,,,
03005355,6.40,7.50,6.60,,,,,4.75,7.00,9.50,7.08
03005356,6.20,7.50,5.20,5.25,7.00,4.50,5.58,,,,
03005357,5.20,6.50,3.80,,,,,5.50,7.25,8.25,7.00
03005358,6.60,6.75,4.00,7.00,5.25,5.00,5.75,,,,
03005359,8.60,7.00,4.80,7.25,7.50,6.25,7.00,,,,
03005360,6.80,7.50,6.00,,,,,6.75,7.50,9.00,7.75
03005361,5.80,7.00,9.20,6.00,4.50,5.75,5.42,,,,
03005362,4.60,7.00,4.40,,,,,2.75,5.75,6.75,5.08
03005363,7.40,7.00,4.60,5.25,7.00,7.50,6.58,,,,
03005364,6.60,7.00,8.00,7.25,5.75,4.75,5.92,,,,
03005365,3.40,1.50,2.20,,,,,3.50,5.50,4.75,4.58
03005366,5.60,7.50,4.00,,,,,5.25,5.75,7.50,6.17
03005367,5.80,6.50,8.60,,,,,6.50,7.75,8.25,7.50
03005368,7.20,5.50,5.00,6.50,4.75,3.25,4.83,,,,
03005369,7.80,7.50,6.40,5.75,5.00,5.25,5.33,,,,
03005370,7.40,6.50,4.60,,,,,3.50,6.50,8.75,6.25
03005371,5.40,5.00,3.00,,,,,5.00,6.00,7.50,6.17
03005372,7.20,6.00,4.40,6.00,4.75,4.00,4.92,,,,
03005373,4.20,6.00,4.40,,,,,4.00,5.50,8.25,5.92
03005374,3.80,5.00,3.60,,,,,5.00,5.75,5.50,5.42
03005375,7.40,6.00,3.00,,,,,4.25,5.50,8.00,5.92
03005376,8.20,4.75,6.40,7.25,4.25,4.50,5.33,,,,
03005377,6.00,5.75,6.00,5.50,3.50,4.00,4.33,,,,
03005378,7.40,5.50,5.20,5.00,7.00,3.50,5.17,,,,
03005379,8.00,4.75,2.20,5.25,6.25,3.50,5.00,,,,
03005380,7.60,5.25,5.20,7.25,7.25,4.25,6.25,,,,
03005381,7.60,6.75,7.60,6.75,6.25,5.50,6.17,,,,
03005382,8.20,7.50,7.20,,,,,5.50,7.25,8.75,7.17
03005383,7.40,7.25,2.60,7.00,4.75,3.75,5.17,,,,
03005384,5.20,6.00,3.20,,,,,4.25,6.00,7.00,5.75
03005385,8.00,3.25,6.60,6.75,6.50,6.50,6.58,,,,
03005386,7.40,7.00,7.20,,,,,4.25,6.00,9.00,6.42
03005387,7.40,6.75,6.40,6.75,6.50,3.50,5.58,,,,
03005388,5.20,6.75,4.40,,,,,4.75,5.00,7.75,5.83
03005389,2.20,5.00,2.80,,,,,4.75,5.50,8.25,6.17
03005390,7.60,6.00,4.20,6.25,3.25,4.25,4.58,,,,
03005391,8.40,6.25,5.60,6.50,6.25,4.50,5.75,,,,
03005392,9.00,5.50,8.80,7.75,5.75,5.25,6.25,,,,
03005393,7.80,5.50,7.20,6.75,3.25,4.50,4.83,,,,
03005394,6.40,5.25,5.60,6.75,3.50,3.75,4.67,,,,
03005395,5.00,4.75,3.60,4.25,2.50,4.00,3.58,,,,
03005396,7.00,4.75,7.60,6.50,5.25,5.50,5.75,,,,
03005397,7.40,5.25,7.80,5.75,3.25,5.75,4.92,,,,
03005398,8.80,5.00,3.60,8.25,7.75,4.50,6.83,,,,
03005399,7.40,4.25,4.20,4.25,3.75,5.00,4.33,,,,
03005400,7.80,5.75,5.60,5.50,5.50,4.00,5.00,,,,
03005401,8.60,7.50,6.40,7.75,5.75,5.50,6.33,,,,
03005402,7.00,6.50,9.20,7.25,5.00,5.00,5.75,,,,
03005403,7.40,5.75,3.00,7.75,6.00,5.50,6.42,,,,
03005404,8.20,5.25,5.00,7.00,5.25,5.25,5.83,,,,
03005405,7.20,5.00,6.00,6.25,5.25,5.75,5.75,,,,
03005406,6.80,7.00,4.20,8.00,5.25,3.75,5.67,,,,
03005407,6.60,6.25,2.20,5.00,3.50,5.25,4.58,,,,
03005408,6.20,7.25,3.60,,,,,4.25,5.75,8.00,6.00
03005409,3.40,1.50,2.60,,,,,2.50,4.75,5.00,4.08
03005410,6.80,7.00,5.60,,,,,5.50,6.75,8.50,6.92
03005411,6.60,7.75,5.80,,,,,6.25,8.50,8.75,7.83
03005412,5.80,7.25,4.40,,,,,4.50,6.50,8.00,6.33
03005413,6.80,7.75,6.60,,,,,7.00,8.00,8.75,7.92
03005414,6.60,7.75,6.40,,,,,5.00,6.00,9.00,6.67
03005415,8.00,8.00,8.60,7.25,3.25,5.50,5.33,,,,
03005416,6.80,7.00,3.40,5.75,2.75,4.25,4.25,,,,
03005417,8.00,7.00,2.80,5.75,5.25,5.00,5.33,,,,
03005418,6.80,6.25,4.20,7.25,5.50,5.75,6.17,,,,
03005419,6.20,6.75,6.80,,,,,3.00,6.00,8.00,5.67
03005420,6.60,8.00,6.00,,,,,4.75,6.00,8.50,6.42
03005421,5.40,7.75,5.40,,,,,3.75,3.75,6.00,4.50
03005422,9.00,8.25,8.40,,,,,6.50,8.50,9.00,8.00
03005423,6.80,7.50,6.20,,,,,5.00,7.50,8.50,7.00
03005424,8.00,5.25,7.80,6.75,5.75,4.00,5.50,,,,
03005425,6.60,6.00,5.60,,,,,2.50,6.25,7.00,5.25
03005426,6.00,6.50,6.80,6.25,3.25,3.75,4.42,,,,
03005427,6.40,5.75,6.00,7.25,6.00,5.25,6.17,,,,
03005428,6.80,6.00,4.00,5.50,3.50,4.00,4.33,,,,
03005429,2.20,3.00,2.60,,,,,3.50,4.00,5.50,4.33
03005430,4.00,5.75,4.00,,,,,5.75,7.25,8.00,7.00
03005431,7.80,7.00,7.00,8.75,3.00,5.50,5.75,,,,
03005432,9.20,6.25,5.40,8.25,6.50,5.00,6.58,,,,
03005433,7.00,7.00,7.60,6.00,3.75,3.75,4.50,,,,
03005434,3.40,4.25,4.60,,,,,3.00,5.50,7.25,5.25
03005435,7.60,7.25,6.80,7.25,3.25,4.75,5.08,,,,
03005436,6.20,5.75,7.40,7.25,2.75,4.00,4.67,,,,
03005437,7.20,6.75,6.80,4.75,4.75,4.50,4.67,,,,
03005438,7.60,6.50,5.40,7.25,3.00,5.00,5.08,,,,
03005439,6.60,7.75,9.00,,,,,7.50,8.50,9.25,8.42
03005440,7.60,7.75,7.80,,,,,6.50,9.00,8.75,8.08
03005441,7.20,7.00,3.80,6.25,6.00,3.75,5.33,,,,
03005442,6.00,6.50,5.40,,,,,5.25,7.00,9.25,7.17
03005443,8.20,7.25,4.40,,,,,5.00,5.75,8.25,6.33
03005444,6.40,6.50,4.00,,,,,4.50,6.00,8.50,6.33
03005445,6.60,7.75,7.60,,,,,7.00,7.75,8.75,7.83
03005446,6.40,6.75,6.20,,,,,4.50,7.75,10.00,7.42
03005447,8.00,6.50,2.80,,,,,4.50,8.25,7.75,6.83
03005448,7.60,3.50,8.80,7.25,4.50,5.00,5.58,,,,
03005449,7.60,6.00,8.80,6.50,5.50,5.75,5.92,,,,
03005450,6.20,5.25,4.60,5.00,5.50,4.25,4.92,,,,
03005451,6.40,6.75,3.80,7.00,3.00,2.50,4.17,,,,
03005452,5.00,5.75,2.80,2.25,2.00,3.50,2.58,6.25,7.50,8.50,7.42
03005453,8.40,5.75,6.60,7.75,6.75,5.25,6.58,,,,
03005454,8.00,6.50,8.40,7.75,5.75,4.25,5.92,,,,
03005455,7.20,7.00,8.60,5.75,4.25,2.75,4.25,,,,
03005456,8.40,5.50,5.60,6.00,3.50,4.25,4.58,,,,
03005457,7.00,7.25,5.80,8.75,6.00,5.00,6.58,,,,
03005458,7.80,4.75,7.40,6.75,6.75,6.25,6.58,,,,
03005459,6.00,4.75,1.60,4.50,3.25,4.50,4.08,,,,
03005460,7.60,5.75,8.20,8.00,6.50,5.50,6.67,,,,
03005461,6.60,6.00,3.80,4.75,1.50,3.00,3.08,6.50,8.00,9.25,7.92
03005462,7.40,6.00,8.00,6.75,5.50,5.25,5.83,,,,
03005463,6.80,6.75,7.20,7.50,3.75,4.50,5.25,,,,
03005464,8.20,5.25,4.40,8.25,7.25,5.25,6.92,,,,
03005465,4.20,4.00,2.40,2.50,3.25,2.00,2.58,,,,
03005466,7.80,7.25,5.40,4.50,4.75,4.25,4.50,,,,
03005467,6.00,6.75,6.00,4.50,3.50,4.50,4.17,,,,
03005468,6.60,6.50,5.60,5.00,3.75,4.50,4.42,,,,
03005469,7.20,5.50,7.60,6.25,2.25,3.75,4.08,,,,
03005470,6.20,5.00,3.40,6.00,5.00,5.75,5.58,,,,
03005471,7.80,6.00,3.60,5.75,6.75,5.75,6.08,,,,
03005472,7.40,6.00,5.20,7.75,3.50,3.25,4.83,,,,
03005473,9.00,4.50,8.60,7.00,4.50,4.00,5.17,,,,
03005474,5.40,5.50,3.80,6.00,5.50,4.75,5.42,,,,
03005475,7.60,6.50,8.40,6.00,6.50,7.00,6.50,,,,
03005476,7.40,7.00,7.20,7.25,6.75,5.00,6.33,,,,
03005477,5.20,5.50,4.40,,,,,4.75,6.00,9.25,6.67
03005478,7.60,7.25,6.40,,,,,6.50,8.00,9.25,7.92
03005479,4.60,7.50,8.60,,,,,5.50,6.25,8.50,6.75
03005480,7.20,6.50,3.60,6.50,7.00,3.50,5.67,,,,
03005481,4.80,5.00,3.40,5.25,4.00,4.50,4.58,,,,
03005482,6.80,6.75,7.00,,,,,6.75,8.75,8.00,7.83
03005483,7.40,7.00,7.40,,,,,6.50,7.75,10.00,8.08
03005484,7.00,8.25,8.40,,,,,6.50,7.25,8.25,7.33
03005485,6.40,7.00,5.80,,,,,4.75,7.25,8.50,6.83
03005486,7.00,6.25,5.80,,,,,4.00,5.00,8.25,5.75
03005487,6.40,6.50,7.00,,,,,5.00,4.75,8.50,6.08
03005488,5.00,6.00,3.60,,,,,4.25,5.25,6.75,5.42
03005489,7.00,6.50,5.60,,,,,3.50,6.25,6.00,5.25
03005490,6.80,7.75,8.60,,,,,4.50,7.00,8.75,6.75
03005491,8.20,8.00,8.80,8.00,6.25,5.00,6.42,,,,
03005492,6.80,6.50,6.00,,,,,5.50,7.00,7.25,6.58
03005493,8.20,7.00,3.20,7.00,7.25,3.00,5.75,,,,
03005494,6.80,5.50,8.20,4.00,4.00,4.75,4.25,,,,
03005495,6.80,5.50,4.80,2.25,4.75,5.00,4.00,,,,
03005496,7.60,6.75,7.60,7.50,6.50,5.25,6.42,,,,
03005497,6.40,7.75,8.60,,,,,4.50,7.25,9.75,7.17
03005498,7.60,5.75,5.80,7.25,7.75,5.00,6.67,,,,
03005499,1.40,5.00,2.40,,,,,5.00,6.25,7.00,6.08
03005500,5.80,4.25,2.80,,,,,5.75,6.50,9.00,7.08
03005501,8.20,6.75,4.60,7.00,4.75,5.50,5.75,,,,
03005502,6.80,5.50,4.40,,,,,3.50,5.00,7.50,5.33
03005503,8.20,5.00,8.40,7.25,4.75,3.00,5.00,,,,
03005504,7.20,4.75,4.60,6.75,6.50,4.00,5.75,,,,
03005505,8.60,7.00,6.00,9.00,7.25,6.25,7.50,,,,
03005506,3.40,4.00,3.20,,,,,2.75,4.75,6.00,4.50
03005507,7.00,6.00,6.00,7.50,7.00,4.75,6.42,,,,
03005508,5.20,5.50,6.60,3.75,3.25,3.75,3.58,,,,
03005509,3.00,4.75,2.20,,,,,3.75,5.00,7.50,5.42
03005510,7.60,6.00,4.60,6.50,7.00,7.00,6.83,,,,
03005511,5.60,4.75,6.40,,,,,6.25,6.00,7.50,6.58
03005512,5.20,6.50,4.80,,,,,3.25,7.00,8.00,6.08
03005513,9.40,7.50,,8.25,6.75,4.75,6.58,,,,
03005514,7.80,7.75,5.00,8.25,7.50,5.00,6.92,,,,
03005515,7.40,5.25,3.20,7.50,6.75,3.00,5.75,,,,
03005516,7.60,8.25,7.80,,,,,5.50,6.00,7.75,6.42
03005517,3.60,5.50,3.40,,,,,3.25,5.00,8.50,5.58
03005518,9.00,7.25,5.40,8.50,8.75,5.50,7.58,,,,
03005519,7.60,6.50,6.40,6.00,2.75,3.75,4.17,,,,
03005520,3.80,2.00,2.60,,,,,4.75,6.25,7.50,6.17
03005521,7.40,7.00,5.20,7.25,5.75,2.50,5.17,,,,
03005522,8.20,5.00,8.60,6.50,6.50,7.25,6.75,,,,
03005523,8.00,7.00,4.60,6.25,7.50,4.50,6.08,,,,
